Station1,Station2,Time
Acton Town,Chiswick Park,2.0
Acton Town,Ealing Common,2.0
Acton Town,Hammersmith,8.0
Acton Town,South Ealing,3.0
Acton Town,Turnham Green,4.0
Aldgate,Liverpool Street,3.0
Aldgate,Tower Hill,2.0
Aldgate East,Liverpool Street,3.0
Aldgate East,Tower Hill,3.0
Aldgate East,Whitechapel,2.0
Alperton,Park Royal,2.0
Alperton,Sudbury Town,3.0
Amersham,Chalfont & Latimer,4.0
Angel,King's Cross St. Pancras,3.0
Angel,Old Street,3.0
Archway,Highgate,3.0
Archway,Tufnell Park,2.0
Arnos Grove,Bounds Green,2.0
Arnos Grove,Southgate,4.0
Arsenal,Finsbury Park Victoria,1.0
Arsenal,Holloway Road,2.0
Baker Street,Bond Street,2.0
Baker Street,Edgware Road,3.0
Baker Street,Edgware Road ,3.0
Baker Street,Finchley Road,5.0
Baker Street,Great Portland Street,2.0
Baker Street,Marylebone,2.0
Baker Street,Regent's Park,2.0
Baker Street,St. John's Wood,3.0
Balham,Clapham South,2.0
Balham,Tooting Bec,2.0
Bank,Liverpool Street,2.0
Bank,London Bridge,2.0
Bank,Moorgate,2.0
Bank,St. Paul's,2.0
Bank,Waterloo,5.0
Barbican,Farringdon,1.0
Barbican,Moorgate,2.0
Barking,East Ham,4.0
Barking,Upney,3.0
Barkingside,Fairlop,2.0
Barkingside,Newbury Park,2.0
Barons Court,Earl's Court,3.0
Barons Court,Hammersmith,3.0
Barons Court,West Kensington,2.0
Bayswater,Notting Hill Gate,2.0
Bayswater,Paddington,2.0
Becontree,Dagenham Heathway,3.0
Becontree,Upney,2.0
Belsize Park,Chalk Farm,2.0
Belsize Park,Hampstead,3.0
Bermondsey,Canada Water,2.0
Bermondsey,London Bridge,2.0
Bethnal Green,Liverpool Street,3.0
Bethnal Green,Mile End,2.0
Blackfriars,Mansion House,2.0
Blackfriars,Temple,1.0
Blackhorse Road,Tottenham Hale,3.0
Blackhorse Road,Walthamstow Central,3.0
Bond Street,Baker Street,2.0
Bond Street,Green Park,2.0
Bond Street,Marble Arch,2.0
Bond Street,Oxford Circus,2.0
Borough,Elephant & Castle,2.0
Borough,London Bridge,2.0
Boston Manor,Northfields,2.0
Boston Manor,Osterley,3.0
Bounds Green,Arnos Grove,2.0
Bounds Green,Wood Green,3.0
Bow Road,Bromley-by-Bow,2.0
Bow Road,Mile End,2.0
Brent Cross,Golders Green,3.0
Brent Cross,Hendon Central,2.0
Brixton,Stockwell,2.0
Bromley-by-Bow,Bow Road,2.0
Bromley-by-Bow,West Ham,2.0
Buckhurst Hill,Loughton ,3.0
Buckhurst Hill,Woodford,2.0
Burnt Oak,Colindale,2.0
Burnt Oak,Edgware,4.0
Caledonian Road,Holloway Road,2.0
Caledonian Road,King's Cross St. Pancras,4.0
Camden Town,Chalk Farm,1.0
Camden Town,Euston,4.0
Camden Town,Kentish Town,2.0
Camden Town,Mornington Crescent,2.0
Canada Water,Bermondsey,2.0
Canada Water,Canary Wharf,3.0
Canary Wharf,Canada Water,3.0
Canary Wharf,North Greenwich,3.0
Canning Town,North Greenwich,3.0
Canning Town,West Ham,3.0
Cannon Street,Mansion House,2.0
Cannon Street,Monument,1.0
Canons Park,Queensbury,3.0
Canons Park,Stanmore,4.0
Chalfont & Latimer,Amersham,4.0
Chalfont & Latimer,Chesham,9.0
Chalfont & Latimer,Chorleywood,4.0
Chalk Farm,Belsize Park,2.0
Chalk Farm,Camden Town,1.0
Chancery Lane,Holborn,1.0
Chancery Lane,St. Paul's,2.0
Charing Cross,Embankment,1.0
Charing Cross,Leicester Square,1.0
Charing Cross ,Embankment,1.0
Charing Cross ,Piccadilly Circus,2.0
Chesham,Chalfont & Latimer,9.0
Chigwell,Grange Hill,2.0
Chigwell,Roding Valley,3.0
Chiswick Park,Acton Town,2.0
Chiswick Park,Turnham Green,2.0
Chorleywood,Chalfont & Latimer,4.0
Chorleywood,Rickmansworth,4.0
Clapham Common,Clapham North,2.0
Clapham Common,Clapham South,2.0
Clapham North,Clapham Common,2.0
Clapham North,Stockwell,2.0
Clapham South,Balham,2.0
Clapham South,Clapham Common,2.0
Cockfosters,Oakwood,2.0
Colindale,Burnt Oak,2.0
Colindale,Hendon Central,3.0
Colliers Wood,South Wimbledon,2.0
Colliers Wood,Tooting Broadway,2.0
Covent Garden,Holborn Central,2.0
Covent Garden,Leicester Square,1.0
Croxley,Moor Park,4.0
Croxley,Watford,4.0
Dagenham East,Dagenham Heathway,2.0
Dagenham East,Elm Park,3.0
Dagenham Heathway,Becontree,3.0
Dagenham Heathway,Dagenham East,2.0
Debden,Loughton ,2.0
Debden,Theydon Bois,3.0
Dollis Hill,Neasden,2.0
Dollis Hill,Willesden Green,2.0
Ealing Broadway,Ealing Common,5.0
Ealing Broadway,West Acton,3.0
Ealing Common,Acton Town,2.0
Ealing Common,Ealing Broadway,5.0
Ealing Common,North Ealing,2.0
Earl's Court,Barons Court,3.0
Earl's Court,Gloucester Road,2.0
Earl's Court,High Street Kensington,5.0
Earl's Court,Kensington (Olympia),3.0
Earl's Court,West Brompton,2.0
Earl's Court,West Kensington,2.0
East Acton,North Acton,2.0
East Acton,White City,3.0
East Finchley,Finchley Central,4.0
East Finchley,Highgate,3.0
East Ham,Barking,4.0
East Ham,Upton Park,2.0
East Putney,Putney Bridge,3.0
East Putney,Southfields,2.0
Eastcote,Rayners Lane,2.0
Eastcote,Ruislip Manor,2.0
